INFO:1540133652[e:\repo\oneshot\oneshot\main.cpp : 26]0
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]1
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]2
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]3
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]4
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]5
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]6
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]7
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]8
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]9
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]10
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]11
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]12
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]13
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]14
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]15
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]16
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]17
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]18
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]19
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]20
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]21
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]22
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]23
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]24
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]25
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]26
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]27
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]28
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]29
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]30
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]31
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]32
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]33
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]34
